연도,KOSPI,수익률,누적수익률
2011,1984.5420603887271,0.0,0.0
2012,1930.3727023216984,-2.7295646259277606,-2.7295646259277606
2013,1960.499716322432,1.560683797719431,-1.211480701073464
2014,1982.1581239038585,1.1047391336558743,2.682664416041347
2015,2011.8487494684036,1.4978938968839506,2.619180850599334
2016,1987.0032527272292,-1.2349584802406,0.2444370489387726
2017,2310.368424918147,16.274013228065343,14.838077441389274
2018,2325.0094329333697,0.6337087997444035,17.010851881707566
2019,2106.053582416317,-9.417417728099487,-8.843387933206737
2020,2220.068017282794,5.413653091184201,-4.513590962862269
2021,3111.2176543205014,40.14064569645086,47.72737409420227
2022,2742.057801781631,-11.865446058594575,23.512332975172345
